Timestamp, X, Y, Width, Height
2025-10-31 13:20:43, 246, 250, 196, 196
2025-10-31 13:20:43, 253, 251, 192, 192
2025-10-31 13:20:43, 250, 249, 196, 196
2025-10-31 13:20:43, 246, 252, 196, 196
2025-10-31 13:20:43, 248, 254, 196, 196
2025-10-31 13:20:43, 245, 251, 201, 201
2025-10-31 13:20:43, 242, 252, 204, 204
2025-10-31 13:20:43, 244, 259, 196, 196
2025-10-31 13:20:43, 243, 261, 196, 196
2025-10-31 13:20:43, 240, 260, 196, 196
2025-10-31 13:20:43, 242, 258, 196, 196
2025-10-31 13:20:43, 243, 263, 196, 196
2025-10-31 13:20:43, 243, 269, 196, 196
2025-10-31 13:20:43, 243, 266, 196, 196
2025-10-31 13:20:43, 239, 265, 196, 196
2025-10-31 13:20:43, 239, 267, 196, 196
2025-10-31 13:20:43, 238, 269, 196, 196
2025-10-31 13:20:43, 241, 265, 196, 196
2025-10-31 13:20:43, 247, 266, 190, 190
2025-10-31 13:20:43, 241, 265, 196, 196
2025-10-31 13:20:43, 242, 261, 196, 196
2025-10-31 13:20:43, 243, 261, 196, 196
2025-10-31 13:20:43, 242, 258, 196, 196
2025-10-31 13:20:43, 245, 258, 196, 196
2025-10-31 13:20:43, 245, 257, 196, 196
2025-10-31 13:20:43, 244, 257, 196, 196
2025-10-31 13:20:44, 246, 261, 190, 190
2025-10-31 13:20:44, 244, 259, 196, 196
2025-10-31 13:20:44, 248, 258, 196, 196
2025-10-31 13:20:44, 248, 260, 196, 196
2025-10-31 13:20:44, 250, 259, 192, 192
2025-10-31 13:20:44, 252, 260, 192, 192
2025-10-31 13:20:44, 252, 261, 188, 188
2025-10-31 13:20:44, 248, 258, 196, 196
2025-10-31 13:20:44, 247, 258, 196, 196
2025-10-31 13:20:44, 241, 255, 201, 201
2025-10-31 13:20:44, 237, 249, 201, 201
2025-10-31 13:20:44, 238, 246, 203, 203
2025-10-31 13:20:44, 241, 251, 203, 203
2025-10-31 13:20:44, 236, 250, 204, 204
2025-10-31 13:20:44, 238, 255, 196, 196
2025-10-31 13:20:44, 237, 248, 202, 202
2025-10-31 13:20:44, 237, 250, 201, 201
2025-10-31 13:20:44, 235, 248, 201, 201
2025-10-31 13:20:44, 238, 248, 202, 202
2025-10-31 13:20:44, 241, 249, 196, 196
2025-10-31 13:20:44, 239, 250, 201, 201
2025-10-31 13:20:44, 237, 249, 203, 203
2025-10-31 13:20:44, 234, 243, 212, 212
2025-10-31 13:20:44, 236, 244, 207, 207
2025-10-31 13:20:44, 235, 252, 202, 202
2025-10-31 13:20:44, 239, 254, 196, 196
2025-10-31 13:20:44, 243, 253, 196, 196
2025-10-31 13:20:44, 241, 253, 196, 196
2025-10-31 13:20:44, 239, 253, 196, 196
2025-10-31 13:20:45, 241, 264, 196, 196
2025-10-31 13:20:45, 241, 257, 196, 196
2025-10-31 13:20:45, 239, 256, 196, 196
2025-10-31 13:20:45, 238, 254, 196, 196
2025-10-31 13:20:45, 238, 257, 196, 196
2025-10-31 13:20:45, 234, 260, 196, 196
2025-10-31 13:20:45, 234, 265, 196, 196
2025-10-31 13:20:45, 230, 266, 196, 196
2025-10-31 13:20:45, 233, 263, 196, 196
2025-10-31 13:20:45, 231, 267, 196, 196
2025-10-31 13:20:45, 229, 266, 196, 196
2025-10-31 13:20:45, 230, 265, 196, 196
2025-10-31 13:20:45, 231, 270, 196, 196
2025-10-31 13:20:45, 232, 268, 196, 196
2025-10-31 13:20:45, 231, 267, 196, 196
2025-10-31 13:20:45, 231, 268, 196, 196
2025-10-31 13:20:45, 232, 270, 196, 196
2025-10-31 13:20:45, 236, 269, 190, 190
2025-10-31 13:20:46, 240, 260, 196, 196
2025-10-31 13:20:46, 237, 257, 196, 196
2025-10-31 13:20:46, 234, 254, 204, 204
2025-10-31 13:20:46, 231, 254, 203, 203
2025-10-31 13:20:46, 239, 258, 196, 196
2025-10-31 13:20:46, 243, 253, 190, 190
2025-10-31 13:20:46, 238, 253, 196, 196
2025-10-31 13:20:46, 239, 251, 196, 196
2025-10-31 13:20:46, 238, 255, 196, 196
2025-10-31 13:20:46, 240, 250, 196, 196
2025-10-31 13:20:46, 238, 253, 196, 196
2025-10-31 13:20:46, 239, 253, 196, 196
2025-10-31 13:20:46, 240, 254, 196, 196
2025-10-31 13:20:46, 238, 252, 196, 196
2025-10-31 13:20:46, 240, 247, 196, 196
2025-10-31 13:20:46, 238, 255, 196, 196
2025-10-31 13:20:46, 240, 251, 196, 196
2025-10-31 13:20:47, 240, 256, 196, 196
2025-10-31 13:20:47, 242, 251, 196, 196
2025-10-31 13:20:47, 240, 250, 196, 196
2025-10-31 13:20:47, 240, 254, 196, 196
2025-10-31 13:20:47, 241, 249, 196, 196
2025-10-31 13:20:47, 244, 254, 191, 191
2025-10-31 13:20:47, 241, 251, 196, 196
2025-10-31 13:20:47, 243, 253, 196, 196
2025-10-31 13:20:47, 245, 248, 196, 196
2025-10-31 13:20:47, 245, 250, 196, 196
2025-10-31 13:20:47, 252, 250, 190, 190
2025-10-31 13:20:47, 248, 250, 196, 196
2025-10-31 13:20:47, 245, 252, 196, 196
2025-10-31 13:20:47, 249, 254, 193, 193
2025-10-31 13:20:47, 244, 252, 201, 201
2025-10-31 13:20:47, 247, 253, 203, 203
2025-10-31 13:20:47, 246, 253, 203, 203
2025-10-31 13:20:47, 251, 262, 196, 196
2025-10-31 13:20:47, 249, 260, 196, 196
2025-10-31 13:20:47, 249, 257, 196, 196
2025-10-31 13:20:47, 249, 253, 196, 196
2025-10-31 13:20:47, 252, 263, 192, 192
2025-10-31 13:20:47, 254, 265, 196, 196
2025-10-31 13:20:47, 257, 265, 196, 196
2025-10-31 13:20:47, 258, 267, 196, 196
2025-10-31 13:20:47, 260, 266, 196, 196
2025-10-31 13:20:47, 264, 265, 196, 196
2025-10-31 13:20:47, 269, 264, 192, 192
2025-10-31 13:20:47, 277, 264, 188, 188
2025-10-31 13:20:47, 276, 263, 192, 192
2025-10-31 13:20:48, 282, 265, 188, 188
2025-10-31 13:20:48, 276, 258, 196, 196
2025-10-31 13:20:48, 278, 251, 196, 196
2025-10-31 13:20:48, 278, 250, 196, 196
2025-10-31 13:20:48, 280, 253, 196, 196
2025-10-31 13:20:48, 278, 245, 196, 196
2025-10-31 13:20:48, 276, 233, 213, 213
2025-10-31 13:20:48, 281, 235, 206, 206
2025-10-31 13:20:48, 290, 239, 196, 196
2025-10-31 13:20:48, 324, 365, 89, 89
2025-10-31 13:20:48, 258, 211, 206, 206
2025-10-31 13:20:49, 254, 214, 206, 206
2025-10-31 13:20:49, 242, 216, 206, 206
2025-10-31 13:20:49, 246, 213, 206, 206
2025-10-31 13:20:49, 248, 228, 196, 196
2025-10-31 13:20:49, 252, 232, 196, 196
2025-10-31 13:20:49, 248, 227, 196, 196
2025-10-31 13:20:49, 251, 233, 196, 196
2025-10-31 13:20:49, 246, 224, 196, 196
2025-10-31 13:20:49, 252, 232, 196, 196
2025-10-31 13:20:49, 248, 224, 203, 203
2025-10-31 13:20:49, 259, 229, 196, 196
2025-10-31 13:20:49, 259, 229, 196, 196
2025-10-31 13:20:49, 261, 228, 196, 196
2025-10-31 13:20:49, 263, 233, 196, 196
2025-10-31 13:20:50, 248, 246, 196, 196
2025-10-31 13:20:50, 250, 244, 196, 196
2025-10-31 13:20:50, 250, 244, 196, 196
2025-10-31 13:20:50, 250, 233, 196, 196
2025-10-31 13:20:50, 250, 238, 196, 196
2025-10-31 13:20:50, 249, 232, 206, 206
2025-10-31 13:20:50, 254, 244, 196, 196
2025-10-31 13:20:50, 252, 245, 196, 196
2025-10-31 13:20:51, 250, 232, 206, 206
2025-10-31 13:20:51, 252, 237, 204, 204
2025-10-31 13:20:51, 258, 230, 196, 196
2025-10-31 13:20:51, 258, 237, 196, 196
2025-10-31 13:20:51, 258, 234, 196, 196
2025-10-31 13:20:51, 260, 239, 196, 196
2025-10-31 13:20:51, 259, 238, 196, 196
2025-10-31 13:20:51, 262, 237, 196, 196
2025-10-31 13:20:51, 260, 235, 202, 202
2025-10-31 13:20:51, 260, 235, 202, 202
2025-10-31 13:20:51, 265, 244, 196, 196
2025-10-31 13:20:51, 263, 234, 196, 196
2025-10-31 13:20:51, 260, 229, 206, 206
2025-10-31 13:20:51, 265, 237, 192, 192
2025-10-31 13:20:51, 270, 236, 197, 197
2025-10-31 13:20:51, 270, 239, 196, 196
2025-10-31 13:20:51, 268, 232, 209, 209
2025-10-31 13:20:51, 271, 237, 196, 196
2025-10-31 13:20:51, 265, 226, 209, 209
2025-10-31 13:20:51, 263, 230, 217, 217
2025-10-31 13:20:51, 263, 234, 211, 211
2025-10-31 13:20:51, 261, 232, 211, 211
2025-10-31 13:20:51, 261, 232, 211, 211
2025-10-31 13:20:51, 260, 238, 204, 204
2025-10-31 13:20:52, 259, 235, 206, 206
2025-10-31 13:20:52, 257, 234, 213, 213
2025-10-31 13:20:52, 260, 232, 208, 208
2025-10-31 13:20:52, 258, 238, 213, 213
2025-10-31 13:20:52, 254, 231, 216, 216
2025-10-31 13:20:52, 244, 223, 226, 226
2025-10-31 13:20:52, 249, 232, 213, 213
2025-10-31 13:20:52, 251, 233, 204, 204
2025-10-31 13:20:52, 246, 227, 216, 216
2025-10-31 13:20:52, 247, 233, 213, 213
2025-10-31 13:20:52, 252, 231, 209, 209
